abstract,abstractnote,address,annote,archiveprefix,articleno,author,author1_email,author1_url,author2_email,author2_url,bdsk-url-1,booktitle,chapter,citation_key,collection,contact,copyright,date,day,doi,edition,editor,entry_type,eprint,file,howpublished,institution,isbn,issn,issue,issue_date,journal,keywords,language,lccn,location,month,note,number,numpages,organization,pages,pmcid,pmid,primaryclass,publisher,rights,school,series,shorttitle,title,type,url,urldate,volume,year
,,,,,,"Theofanos, M. and Choong, Y. and Jensen, T.",,,,,,,,ref23,,,,,,10.6028/NIST.AI.200-1,,,techreport,,,,"National Institute of Standards and Technology, Gaithersburg, MD",,,,,,,,,,,,NIST AI 200-1,,,,,,,,,,,,AI Use Taxonomy: A Human-Centered Approach,,https://doi.org/10.6028/NIST.AI.200-1,,,2024
,,,,,,"Hasan, Ali and Brown, Shea and Davidovic, Jovana and Lange, Benjamin and Regan, Mitt",,,,,,,,hasan2022algorithmic,,,,,,,,,article,,,,,,,,,Digital Society,,,,,,URL: \url{https://philpapers.org/archive/HASABA.pdf},2,,,14,,,,Springer,,,,,Algorithmic {B}ias and {R}isk {A}ssessments: {L}essons from {P}ractice,,,,1,2022
,,,,,,"Wallace, Eric and Tuyls, Jens and Wang, Junlin and Subramanian, Sanjay and Gardner, Matt and Singh, Sameer",,,,,,,,wallace2019allennlp,,,,,,,,,article,,,,,,,,,arXiv preprint arXiv:1909.09251,,,,,,URL: \url{https://arxiv.org/pdf/1909.09251.pdf},,,,,,,,,,,,,AllenNLP Interpret: A Framework for Explaining Predictions of NLP Models,,,,,2019
,,,,,,Gallup and Telescope Foundation,,,,,,,,ref160,,,,,,,,,misc,,,,,,,,,,,en,,,,,,,,,,,,,,,,,Americans Use AI in Everyday Products Without Realizing It,,https://www.telescopegp.com/insights/americans-use-ai-in-everyday-products-without-realizing-it,,,
,,,,,,"de Wynter, A. and others",,,,,,,,ref92,,,,,,10.1016/j.nlp.2023.100024,,,article,,,,,,,,,Natural Language Processing Journal,,,,,,,,,,100024,,,,,,,,,An evaluation on large language model outputs: Discourse and memorization,,https://doi.org/10.1016/j.nlp.2023.100024,,4,2023
,,,,,,"Strumbelj, Erik and Kononenko, Igor",,,,,,,,kononenko2010efficient,,,,,,,,,article,,,,,,,,,Journal of Machine Learning Research,,,,,,URL: \url{http://www.jmlr.org/papers/volume11/strumbelj10a/strumbelj10a.pdf},Jan,,,1--18,,,,,,,,,An {E}fficient {E}xplanation of {I}ndividual {C}lassifications using {G}ame {T}heory,,,,11,2010
,,,,,,"Strumbelj, Erik and Kononenko, Igor",,,,,,,,kononenko2010efficient,,,,,,,,,article,,,,,,,,,Journal of Machine Learning Research,,,,,,URL: \url{http://www.jmlr.org/papers/volume11/strumbelj10a/strumbelj10a.pdf},Jan,,,1--18,,,,,,,,,An {E}fficient {E}xplanation of {I}ndividual {C}lassifications using {G}ame {T}heory,,,,11,2010
,,,,,,"Strumbelj, Erik and Kononenko, Igor",,,,,,,,kononenko2010efficient,,,,,,,,,article,,,,,,,,,Journal of Machine Learning Research,,,,,,URL: \url{http://www.jmlr.org/papers/volume11/strumbelj10a/strumbelj10a.pdf},Jan,,,1--18,,,,,,,,,An {E}fficient {E}xplanation of {I}ndividual {C}lassifications using {G}ame {T}heory,,,,11,2010
,,,,,,"Strumbelj, Erik and Kononenko, Igor",,,,,,,,kononenko2010efficient,,,,,,,,,article,,,,,,,,,Journal of Machine Learning Research,,,,,,URL: \url{http://www.jmlr.org/papers/volume11/strumbelj10a/strumbelj10a.pdf},Jan,,,1--18,,,,,,,,,An {E}fficient {E}xplanation of {I}ndividual {C}lassifications using {G}ame {T}heory,,,,11,2010
,,,,,,"Strumbelj, Erik and Kononenko, Igor",,,,,,,,kononenko2010efficient,,,,,,,,,article,,,,,,,,,Journal of Machine Learning Research,,,,,,URL: \url{http://www.jmlr.org/papers/volume11/strumbelj10a/strumbelj10a.pdf},Jan,,,1--18,,,,,,,,,An {E}fficient {E}xplanation of {I}ndividual {C}lassifications using {G}ame {T}heory,,,,11,2010
,,,,,,"Kononenko, Igor and others",,,,,,,,kononenko2010efficient,,,,,,,,,article,,,,,,,,,Journal of Machine Learning Research,,,,,,URL: \url{http://www.jmlr.org/papers/volume11/strumbelj10a/strumbelj10a.pdf},Jan,,,1--18,,,,,,,,,An {E}fficient {E}xplanation of {I}ndividual {C}lassifications {U}sing {G}ame {T}heory,,,,11,2010
,,,,,,"Kononenko, Igor and others",,,,,,,,kononenko2010efficient,,,,,,,,,article,,,,,,,,,Journal of Machine Learning Research,,,,,,URL: \url{http://www.jmlr.org/papers/volume11/strumbelj10a/strumbelj10a.pdf},Jan,,,1--18,,,,,,,,,An {E}fficient {E}xplanation of {I}ndividual {C}lassifications {U}sing {G}ame {T}heory,,,,11,2010
,,,,,,"Hall, Patrick and Silva, Jorge and Kabul, Ilknur Kaynar and Holdaway, Keith and Chien, Alex",,,,,,,,hall2016efficient,,,,,,,,,article,,,,,,,,,Proceedings of SAS Global Forum,,,,,,URL: \url{https://pdfs.semanticscholar.org/f3fd/f7815ffbef2e06d57c1b8c8705091bf3d12a.pdf},,,,,,,,"SAS Institute, Cary, NC",,,,,An {E}fficient {P}attern {R}ecognition {A}pproach with {A}pplications,,,,,2016
,,,,,,"Schmidt, Nicholas and Stephens, Bryce",,,,,,,,schmidt2019introduction,,,,,,,,,article,,,,,,,,,Conference on Consumer Finance Law Quarterly Report,,,,,,URL: \url{https://arxiv.org/pdf/1911.05755.pdf},2,,,130--144,,,,,,,,,An {I}ntroduction to {A}rtificial {I}ntelligence and {S}olutions to the {P}roblems of {A}lgorithmic {D}iscrimination,,,,73,2019
,,,,,,"Schmidt, Nicholas and Stephens, Bryce",,,,,,,,schmidt2019introduction,,,,,,,,,article,,,,,,,,,Conference on Consumer Finance Law Quarterly Report,,,,,,URL: \url{https://arxiv.org/pdf/1911.05755.pdf},2,,,130--144,,,,,,,,,An {I}ntroduction to {A}rtificial {I}ntelligence and {S}olutions to the {P}roblems of {A}lgorithmic {D}iscrimination,,,,73,2019
,,,,,,"Hall, Patrick and Gill, Navdeep",,,,,,,,hall2018introduction,,,,,,,,,misc,,,,,,,,,,,,,,,URL: \url{https://pages.dataiku.com/hubfs/ML-interperatability.pdf},,,,,,,,O'Reilly Media,,,,,"An {I}ntroduction to {M}achine {L}earning {I}nterpretability: {A}n {A}pplied {P}erspective on {F}airness, {A}ccountability, {T}ransparency, and {E}xplainable {A}{I}",,,,,2018
,,,,,,"Hall, Patrick and Gill, Navdeep",,,,,,,,hall2019introduction,,,,,,,,,misc,,,,,,,,,,,,,,,URL: \url{https://www.h2o.ai/wp-content/uploads/2019/08/An-Introduction-to-Machine-Learning-Interpretability-Second-Edition.pdf},,,,,,,,O'Reilly Media,,,,,"An {I}ntroduction to {M}achine {L}earning {I}nterpretability: {A}n {A}pplied {P}erspective on {F}airness, {A}ccountability, {T}ransparency, and {E}xplainable {A}{I}, 2\textsuperscript{nd} {E}dition",,,,,2019
,,,,,,"Hall, Patrick and Dean, Jared and Kabul, Ilknur Kaynar and Silva, Jorge",,,,,,,,hall2014overview,,,,,,,,,article,,,,,,,,,Proceedings of SAS Global Forum,,,,,,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.648.3176&rep=rep1&type=pdf},,,,,,,,"SAS Institute, Cary, NC",,,,,An {O}verview of {M}achine {L}earning with {S}{A}{S} {E}nterprise {M}iner,,,,,2014
,,,,,,"Lipovetsky, Stan and Conklin, Michael",,,,,,,,lipovetsky2001analysis,,,,,,,,,article,,,,,,,,,Applied Stochastic Models in Business and Industry,,,,,,,4,,,319--330,,,,Wiley Online Library,,,,,Analysis of {R}egression in {G}ame {T}heory {A}pproach,,,,17,2001
,,,,,,"Lipovetsky, Stan and Conklin, Michael",,,,,,,,lipovetsky2001analysis,,,,,,,,,article,,,,,,,,,Applied Stochastic Models in Business and Industry,,,,,,,4,,,319--330,,,,Wiley Online Library,,,,,Analysis of {R}egression in {G}ame {T}heory {A}pproach,,,,17,2001
,,,,,,"Lipovetsky, Stan and Conklin, Michael",,,,,,,,lipovetsky2001analysis,,,,,,,,,article,,,,,,,,,Applied Stochastic Models in Business and Industry,,,,,,,4,,,319--330,,,,Wiley Online Library,,,,,Analysis of {R}egression in {G}ame {T}heory {A}pproach,,,,17,2001
,,,,,,"Lipovetsky, Stan and Conklin, Michael",,,,,,,,lipovetsky2001analysis,,,,,,,,,article,,,,,,,,,Applied Stochastic Models in Business and Industry,,,,,,,4,,,319--330,,,,Wiley Online Library,,,,,Analysis of {R}egression in {G}ame {T}heory {A}pproach,,,,17,2001
,,,,,,"Lipovetsky, Stan and Conklin, Michael",,,,,,,,lipovetsky2001analysis,,,,,,,,,article,,,,,,,,,Applied Stochastic Models in Business and Industry,,,,,,,4,,,319--330,,,,Wiley Online Library,,,,,Analysis of {R}egression in {G}ame {T}heory {A}pproach,,,,17,2001
,,,,,,"Lipovetsky, Stan and Conklin, Michael",,,,,,,,lipovetsky2001analysis,,,,,,,,,article,,,,,,,,,Applied Stochastic Models in Business and Industry,,,,,,,4,,,319--330,,,,Wiley Online Library,,,,,Analysis of {R}egression in {G}ame {T}heory {A}pproach,,,,17,2001
,,,,,,"Lipovetsky, Stan and Conklin, Michael",,,,,,,,lipovetsky2001analysis,,,,,,,,,article,,,,,,,,,Applied Stochastic Models in Business and Industry,,,,,,,4,,,319--330,,,,Wiley Online Library,,,,,Analysis of {R}egression in {G}ame {T}heory {A}pproach,,,,17,2001
"Machine learning (ML) models are increasingly being used in metrology applications. However, for ML models to be credible in a metrology context they should be accompanied by principled uncertainty quantification. This paper addresses the challenge of uncertainty propagation through trained/fixed machine learning (ML) regression models. Analytical expressions for the mean and variance of the model output are obtained/presented for certain input data distributions and for a variety of ML models. Our results cover several popular ML models including linear regression, penalised linear regression, kernel ridge regression, Gaussian Processes (GPs), support vector machines (SVMs) and relevance vector machines (RVMs). We present numerical experiments in which we validate our methods and compare them with a Monte Carlo approach from a computational efficiency point of view. We also illustrate our methods in the context of a metrology application, namely modelling the state-of-health of lithium-ion cells based upon Electrical Impedance Spectroscopy (EIS) data",,,,,,"Thompson, Andrew",,,,,,,,thompson_analytical_2024,,,,,,10.48550/arXiv.2404.11224,,,misc,,Full Text PDF:C\:\\Users\\st3\\Zotero\\storage\\ZWJDCB2S\\Thompson - 2024 - Analytical results for uncertainty propagation thr.pdf:application/pdf;Snapshot:C\:\\Users\\st3\\Zotero\\storage\\A7MW4TDZ\\2404.html:text/html,,,,,,,,"Computer Science - Machine Learning, Statistics - Machine Learning",,,,May,arXiv:2404.11224 [cs],,,,,,,,arXiv,,,,,Analytical results for uncertainty propagation through trained machine learning regression models,,http://arxiv.org/abs/2404.11224,2025-05-16,,2024
,,,,,,"Bou-Franch, Patricia and Blitvich, Pilar Garc{\'e}s-Conejos",,,,,,,,bou2018analyzing,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,Springer,,,,,Analyzing digital discourse: New insights and future directions,,,,,2018
,,,,,,"Ribeiro, Marco Tulio and Singh, Sameer and Guestrin, Carlos",,,,,,{A}AAI {C}onference on {A}rtificial {I}ntelligence,,anchors,,,,,,,,,inproceedings,,,,,,,,,,,,,,,URL: \url{https://homes.cs.washington.edu/~marcotcr/aaai18.pdf},,,,,,,,,,,,,Anchors: High-{P}recision {M}odel-agnostic {E}xplanations,,,,,2018
,,,,,,"Ribeiro, Marco Tulio and Singh, Sameer and Guestrin, Carlos",,,,,,{A}AAI {C}onference on {A}rtificial {I}ntelligence,,anchors,,,,,,,,,inproceedings,,,,,,,,,,,,,,,URL: \url{https://homes.cs.washington.edu/~marcotcr/aaai18.pdf},,,,,,,,,,,,,Anchors: High-{P}recision {M}odel-agnostic {E}xplanations,,,,,2018
,,,,,,"Ribeiro, Marco Tulio and Singh, Sameer and Guestrin, Carlos",,,,,,{A}AAI {C}onference on {A}rtificial {I}ntelligence,,anchors,,,,,,,,,inproceedings,,,,,,,,,,,,,,,URL: \url{https://homes.cs.washington.edu/~marcotcr/aaai18.pdf},,,,,,,,,,,,,Anchors: High-{P}recision {M}odel-agnostic {E}xplanations,,,,,2018
,,,,,,"Bertrand, M. and Mullainathan, S.",,,,,,,,ref78,,,,,,,,,article,,,,,,,,,The American Economic Review,,,,,,,4,,,991--1013,,,,,,,,,Are Emily and Greg more employable than Lakisha and Jamal? A field experiment on labor market discrimination,,https://www.jstor.org/stable/3592802,,94,2004
,,,,arXiv,,Albert Webson and Alyssa Marie Loo and Qinan Yu and Ellie Pavlick,,,,,,,,ref4,,,,,,,,,misc,2301.07085,,,,,,,,,,,,,,,,,,,,,cs.CL,,,,,,Are Language Models Worse than Humans at Following Prompts? It's Complicated,,https://arxiv.org/abs/2301.07085,,,2023
,,,,,,"Liao, Thomas and Taori, Rohan and Raji, Deborah and Schmidt, Ludwig",,,,,,Proceedings of the Neural Information Processing Systems Track on Datasets and Benchmarks,,ref147,,,,,,,,J. Vanschoren and S. Yeung,inproceedings,,,,,,,,,,,,,,,,,,,,,,,,,,,,Are We Learning Yet? A Meta Review of Evaluation Failures Across Machine Learning,,https://datasets-benchmarks-proceedings.neurips.cc/paper_files/paper/2021/file/757b505cfd34c64c85ca5b5690ee5293-Paper-round2.pdf,,1,2021
"Ensuring diagnostic performance of artificial intelligence (AI) before introduction into clinical practice is essential. Growing numbers of studies using AI for digital pathology have been reported over recent years. The aim of this work is to examine the diagnostic accuracy of AI in digital pathology images for any disease. This systematic review and meta-analysis included diagnostic accuracy studies using any type of AI applied to whole slide images (WSIs) for any disease. The reference standard was diagnosis by histopathological assessment and/or immunohistochemistry. Searches were conducted in PubMed, EMBASE and CENTRAL in June 2022. Risk of bias and concerns of applicability were assessed using the QUADAS-2 tool. Data extraction was conducted by two investigators and meta-analysis was performed using a bivariate random effects model, with additional subgroup analyses also performed. Of 2976 identified studies, 100 were included in the review and 48 in the meta-analysis. Studies were from a range of countries, including over 152,000 whole slide images (WSIs), representing many diseases. These studies reported a mean sensitivity of 96.3\% (CI 94.1–97.7) and mean specificity of 93.3\% (CI 90.5–95.4). There was heterogeneity in study design and 99\% of studies identified for inclusion had at least one area at high or unclear risk of bias or applicability concerns. Details on selection of cases, division of model development and validation data and raw performance data were frequently ambiguous or missing. AI is reported as having high diagnostic accuracy in the reported areas but requires more rigorous evaluation of its performance.",,,,,,"McGenity, Clare and Clarke, Emily L. and Jennings, Charlotte and Matthews, Gillian and Cartlidge, Caroline and Freduah-Agyemang, Henschel and Stocken, Deborah D. and Treanor, Darren",,,,,,,,mcgenity_artificial_2024,,,2024 The Author(s),,,10.1038/s41746-024-01106-8,,,article,,,,,,2398-6352,,,npj Digital Medicine,"Medical imaging, Pathogenesis",en,,,May,Publisher: Nature Publishing Group,1,,,1--19,,,,,,,,Artificial intelligence in digital pathology,Artificial intelligence in digital pathology: a systematic review and meta-analysis of diagnostic test accuracy,,https://www.nature.com/articles/s41746-024-01106-8,2025-05-19,7,2024
,,,,,,"Mugdal, Yogesh et al.",,,,,,,,airs_1,,,,,,,,,misc,,,,,,,,,,,,,,,URL: \url{https://ai.wharton.upenn.edu/artificial-intelligence-risk-governance/},,,,,,,,Wharton School of Business,,,,,Artificial Intelligence Risk \& Governance,,,,,2020
,,,,,,{National Institute of Standards and Technology},,,,,,,,ref1,,,,,,10.6028/NIST.AI.100-1,,,techreport,,,,"U.S. Department of Commerce, Washington, D.C.",,,,,,,,,,,,NIST AI 100-1,,,,,,,,,,,,Artificial Intelligence Risk Management Framework (AI RMF 1.0),,https://doi.org/10.6028/NIST.AI.100-1,,,2023
,,,,,,Chloe Autio and Reva Schwartz and Jesse Dunietz and Shomik Jain and Martin Stanley and Elham Tabassi and Patrick Hall and Kamie Roberts,,,,,,,,nist_600_1,,,,,,https://doi.org/10.6028/NIST.AI.600-1,,,misc,,,,,,,,,,,en,,,2024-07-26 04:07:00,,,,,,,,,"NIST Trustworthy and Responsible AI, National Institute of Standards and Technology, Gaithersburg, MD",,,,,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=958388,,,2024
,,,,,,{National Institute of Standards and Technology},,,,,,,,ref2,,,,,,,,,techreport,,,,"U.S. Department of Commerce, Washington, D.C.",,,,,,,,,,,,NIST AI 600-1,,,,,,,,,,,,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,2024
,,,,,,"Russell, Stuart J.",,,,,,,,russell2010artificial,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://aima.cs.berkeley.edu/},,,,,,,,"Pearson Education, Inc.",,,,,Artificial {I}ntelligence {A} {M}odern {A}pproach,,,,,2010
,,,,,,"Frye, Christopher and Rowat, Colin and Feige, Ilya",,,,,,,,frye2020asymmetric,,,,,,,,,article,,,,,,,,,Advances in Neural Information Processing Systems,,,,,,URL: \url{https://arxiv.org/pdf/1910.06358.pdf},,,,,,,,,,,,,Asymmetric {S}hapley {V}alues: {I}ncorporating {C}ausal {K}nowledge into {M}odel-agnostic {E}xplainability,,,,33,2020
,,,,,,"Bogucka, Edyta and {\v{S}}{\'c}epanovi{\'c}, Sanja and Quercia, Daniele",,,,,,Proceedings of the AAAI Conference on Human Computation and Crowdsourcing,,ref107,,,,,,,,,inproceedings,,,,,,,,,,,,,,,,,,,33--43,,,,,,,,,Atlas of AI Risks: Enhancing Public Understanding of AI Risks,,,,12,2024
,,,,,,"Vaswani, Ashish and Shazeer, Noam and Parmar, Niki and Uszkoreit, Jakob and Jones, Llion and Gomez, Aidan N. and Kaiser, \L ukasz and Polosukhin, Illia",,,,,,Advances in Neural Information Processing Systems,,NIPS2017_3f5ee243,,,,,,,,I. Guyon and U. Von Luxburg and S. Bengio and H. Wallach and R. Fergus and S. Vishwanathan and R. Garnett,inproceedings,,,,,,,,,,,,,,,URL: \url{https://proceedings.neurips.cc/paper_files/paper/2017/file/3f5ee243547dee91fbd053c1c4a845aa-Paper.pdf},,,,,,,,"Curran Associates, Inc.",,,,,Attention is All you Need,,,,30,2017
,,,,,,"Kim, Chris Dongjoo and Kim, Byeongchang and Lee, Hyunmin and Kim, Gunhee",,,,,,NAACL-HLT,,ref152,,,,,,,,,inproceedings,,,,,,,,,,,,,,,,,,,,,,,,,,,,AudioCaps: Generating Captions for Audios in The Wild,,,,,2019
,,,,,,"Hall, P. and Atherton, D.",,,,,,,,ref70,,,,,,,,,misc,,,\url{https://github.com/jphall663/awesome-machine-learning-interpretability},,,,,,,,,,,,,,,,,,,,,,,,,Awesome Machine Learning Interpretability,,,,,2024
,,,,,,"Brennen, Andrea and Ashley, Ryan and Calix, Ricardo and Ben-Joseph, JJ and Sieniawski, George and Gogia, Mona and BNH.AI",,,,,,,,iqtlabs,,,,,,,,,misc,,,,,,,,,,,,,,,,,,,,,,,IQT Labs,,,,,"A{I} {A}ssurance {A}udit of {R}o{BERT}a, an {O}pen source, {P}retrained {L}arge {L}anguage {M}odel",,https://assets.iqt.org/pdfs/IQTLabs_RoBERTaAudit_Dec2022_final.pdf/web/viewer.html,,,2022
,,,,,,"Wujek, Brett and Hall, Patrick and G{\""u}nes, Funda",,,,,,,,wujek2016best,,,,,,,,,article,,,,,,,,,Proceedings of SAS Global Forum,,,,,,URL: \url{https://support.sas.com/resources/papers/proceedings16/SAS2360-2016.pdf},,,,,,,,"SAS Institute, Cary, NC",,,,,Best {P}ractices for {M}achine {L}earning {A}pplications,,,,,2016
,,,,arXiv,,Robin Staab and Mark Vero and Mislav Balunović and Martin Vechev,,,,,,,,ref67,,,,,,,,,misc,2310.07298,,,,,,,,,,,,,,,,,,,,,cs.AI,,,,,,Beyond Memorization: Violating Privacy Via Inference with Large Language Models,,https://arxiv.org/abs/2310.07298,,,2024
,,,,arXiv,,Marco AF Pimentel and Clément Christophe and Tathagata Raha and Prateek Munjal and Praveen K Kanithi and Shadab Khan,,,,,,,,pimentel2024metricscriticalanalysisvariability,,,,,,,,,misc,2407.21072,,,,,,,,,,,,,,,,,,,,,cs.AI,,,,,,Beyond Metrics: A Critical Analysis of the Variability in Large Language Model Evaluation Frameworks,,https://arxiv.org/abs/2407.21072,,,2024
,,,,,,"Zhi-Xuan, Tan and Carroll, Micah and Franklin, Matija and Ashton, Hal",,,,,,,,zhi2024beyond,,,,,,,,,article,,,,,,,,,arXiv preprint arXiv:2408.16984,,,,,,,,,,,,,,,,,,,Beyond Preferences in {AI} Alignment,,,,,2024
,,,,,,"Srivastava, Aarohi and Rastogi, Abhinav and Rao, Abhishek and Shoeb, Abu Awal Md and Abid, Abubakar and Fisch, Adam and Brown, Adam R and Santoro, Adam and Gupta, Aditya and Garriga-Alonso, Adri{\`a} and others",,,,,,,,srivastava2022beyond,,,,,,,,,article,,,,,,,,,arXiv preprint arXiv:2206.04615,,,,,,,,,,,,,,,,,,,Beyond the imitation game: Quantifying and extrapolating the capabilities of language models,,,,,2022
,,,,arXiv,,"Srivastava, A. and others",,,,,,,,ref35,,,,,,,,,misc,2206.04615,,,,,,,,,,,,,,,,,,,,,cs.CL,,,,,,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,,https://arxiv.org/abs/2206.04615,,,2023
,,,,,,{Embrace The Red},,,,,,,,ref65,,,,,,,,,misc,,,\url{https://embracethered.com/blog/posts/2023/bing-chat-data-exfiltration-poc-and-fix/},,,,,,,,,,,,,,,,,,,,,,,,,Bing Chat: Data Exfiltration Exploit Explained,,,,,2023
,,The address of the publisher,,,,Peter Eston,,,,,,,8,Eston1993,,,,,,,3,,inbook,,,,,,,,,,,,,,7,,,,,201-213,,,,The name of the publisher,,,,,Book section title,,,,4,1993
,,,,,,Patrick Hall and Andrew Burt,,,,,,,,ai_incidents_cdm,,,,,,,,,article,,,,,,,August,,Cyber Defense eMagazine,,,,,,URL: \url{https://www.cyberdefensemagazine.com/build-your-ai-incident-response-plan/},,,,,,,,,,,,,Build {Y}our {AI} {I}ncident {R}esponse {P}lan... {B}efore {I}t’s {T}oo {L}ate,,,,,2020
,,,,,,"Huang, Y. and others",,,,,,,,ref74,,,,,,,,,misc,,,"Advances in Neural Information Processing Systems, 13;36",,,,,,,,,,,,,,,,,,,,,,,,,C-eval: A multi-level multi-discipline Chinese evaluation suite for foundation models,,https://arxiv.org/abs/2305.08322,,,2024
,,,,,,"Huang, Yuzhen and Bai, Yuzhuo and Zhu, Zhihao and Zhang, Junlei and Zhang, Jinghan and Su, Tangjun and Liu, Junteng and Lv, Chuancheng and Zhang, Yikai and Fu, Yao and others",,,,,,,,huang2024c,,,,,,,,,article,,,,,,,,,Advances in Neural Information Processing Systems,,,,,,,,,,,,,,,,,,,C-eval: {A} multi-level multi-discipline chinese evaluation suite for foundation models,,,,36,2024
,,,,arXiv,,Cheng Wang,,,,,,,,ref30,,,,,,,,,misc,2308.01222,,,,,,,,,,,,,,,,,,,,,cs.LG,,,,,,Calibration in Deep Learning: A Survey of the State-of-the-Art,,https://arxiv.org/abs/2308.01222,,,2024
"Calibrating deep neural models plays an important role in building reliable, robust AI systems in safety-critical applications. Recent work has shown that modern neural networks that possess high predictive capability are poorly calibrated and produce unreliable model predictions. Though deep learning models achieve remarkable performance on various benchmarks, the study of model calibration and reliability is relatively underexplored. Ideal deep models should have not only high predictive performance but also be well calibrated. There have been some recent advances in calibrating deep models. In this survey, we review the state-of-the-art calibration methods and their principles for performing model calibration. First, we start with the definition of model calibration and explain the root causes of model miscalibration. Then we introduce the key metrics that can measure this aspect. It is followed by a summary of calibration methods that we roughly classify into four categories: post-hoc calibration, regularization methods, uncertainty estimation, and composition methods. We also cover recent advancements in calibrating large models, particularly large language models (LLMs). Finally, we discuss some open issues, challenges, and potential directions.",,,"Comment: 30 pages, Ongoing work",,,"Wang, Cheng",,,,,,,,wang_calibration_2024,,,,,,10.48550/arXiv.2308.01222,,,misc,,Preprint PDF:C\:\\Users\\st3\\Zotero\\storage\\GHRCQ8QN\\Wang - 2024 - Calibration in Deep Learning A Survey of the Stat.pdf:application/pdf;Snapshot:C\:\\Users\\st3\\Zotero\\storage\\JAXDK8F9\\2308.html:text/html,,,,,,,,"Computer Science - Artificial Intelligence, Computer Science - Machine Learning",,,,May,arXiv:2308.01222 [cs],,,,,,,,arXiv,,,,Calibration in {Deep} {Learning},Calibration in {Deep} {Learning}: {A} {Survey} of the {State}-of-the-{Art},,http://arxiv.org/abs/2308.01222,2025-05-16,,2024
,,,,,,L. J. Roberts,,,,,,,,Roberts1982,,,,,,10.5594/J00229,,,article,,,,,,0036-1682,,,SMPTE Journal,,,,,Oct,,10,,,934-946,,,,,,,,,Cameras and Systems: A History of Contributions from the Bell; Howell Co. (Part I),,,,91,1982
,,,,arXiv,,Maria Eriksson and Erasmo Purificato and Arman Noroozian and Joao Vinagre and Guillaume Chaslot and Emilia Gomez and David Fernandez-Llorca,,,,,,,,ref124,,,,,,,,,misc,2502.06559,,,,,,,,,,,,,,,,,,,,,cs.AI,,,,,,Can We Trust AI Benchmarks? An Interdisciplinary Review of Current Issues in AI Evaluation,,https://arxiv.org/abs/2502.06559,,,2025
,,,,arXiv,,Yangsibo Huang and Samyak Gupta and Mengzhou Xia and Kai Li and Danqi Chen,,,,,,,,ref86,,,,,,,,,misc,2310.06987,,,,,,,,,,,,,,,,,,,,,cs.CL,,,,,,Catastrophic Jailbreak of Open-source LLMs via Exploiting Generation,,https://arxiv.org/abs/2310.06987,,,2023
,,,,,,"Feldman, Michael and Friedler, Sorelle A. and Moeller, John and Scheidegger, Carlos and Venkatasubramanian, Suresh",,,,,,Proceedings of the 21\textsuperscript{st} ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,feldman2015certifying,,,,,,,,,inproceedings,,,,,,,,,,,,,,,URL: \url{https://arxiv.org/pdf/1412.3756.pdf},,,ACM,259--268,,,,,,,,,Certifying and {R}emoving {D}isparate {I}mpact,,,,,2015
,,,,,,"Feldman, Michael and Friedler, Sorelle A. and Moeller, John and Scheidegger, Carlos and Venkatasubramanian, Suresh",,,,,,Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,feldman2015certifying,,,,,,,,,inproceedings,,,,,,,,,,,,,,,URL: \url{https://arxiv.org/pdf/1412.3756.pdf},,,ACM,259--268,,,,,,,,,Certifying and {R}emoving {D}isparate {I}mpact,,,,,2015
,,,,,,"Feldman, Michael and Friedler, Sorelle A. and Moeller, John and Scheidegger, Carlos and Venkatasubramanian, Suresh",,,,,,Proceedings of the 21\textsuperscript{st} ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,feldman2015certifying,,,,,,,,,inproceedings,,,,,,,,,,,,,,,URL: \url{https://arxiv.org/pdf/1412.3756.pdf},,,ACM,259--268,,,,,,,,,Certifying and {R}emoving {D}isparate {I}mpact,,,,,2015
,,,,,,"Feldman, Michael and Friedler, Sorelle A. and Moeller, John and Scheidegger, Carlos and Venkatasubramanian, Suresh",,,,,,Proceedings of the 21\textsuperscript{st} ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,feldman2015certifying,,,,,,,,,inproceedings,,,,,,,,,,,,,,,URL: \url{https://arxiv.org/pdf/1412.3756.pdf},,,ACM,259--268,,,,,,,,,Certifying and {R}emoving {D}isparate {I}mpact,,,,,2015
