entry_type,citation_key,abstract,abstractnote,address,annote,archiveprefix,articleno,author,booktitle,collection,copyright,doi,edition,editor,eprint,file,howpublished,institution,isbn,issn,issue_date,journal,keywords,language,location,month,note,number,numpages,pages,pmcid,pmid,primaryclass,publisher,rights,series,shorttitle,title,type,url,urldate,volume,year
misc,ref14,,,,,,,{OpenAI},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Inputs to AI Grant Program: Lessons Learned and Implementation Plans,,https://openai.com/index/democratic-inputs-to-ai-grant-program-update/,,,2014
misc,ref15,,,,,,,"Nelson, A.",,,,,,,,,\url{https://www.youtube.com/watch?v=Sq_XwqVTqvQ},,,,,,,,,,,,,,,,,,,,,"FAccT'23 Keynote: ""Thick Alignment""",,,,,2023
misc,ref16,,,,,arXiv,,Ilia Shumailov and Zakhar Shumaylov and Yiren Zhao and Yarin Gal and Nicolas Papernot and Ross Anderson,,,,,,,2305.17493,,,,,,,,,,,,,,,,,,cs.LG,,,,,The Curse of Recursion: Training on Generated Data Makes Models Forget,,https://arxiv.org/abs/2305.17493,,,2024
misc,ref17,,,,,,,"Hoffmann, M. and Frase, H.",,,,,,,,,\url{https://cset.georgetown.edu/publication/adding-structure-to-ai-harm/},,,,,,,,,,,,,,,,,,,,,Adding Structure to AI Harm: An Introduction to CSET's AI Harm Framework,,,,,2023
inproceedings,ref18,,,,,,,"Wang, Z. and Liu, C. and Cui, X.","2021 IEEE Symposium on Computers and Communications (ISCC, Athens, Greece)",,,10.1109/ISCC53001.2021.9631425,,,,,,,,,,,,,,,,,,1--7,,,,,,,,EvilModel: Hiding malware inside of neural network models,,https://doi.org/10.1109/ISCC53001.2021.9631425,,,2021
inproceedings,ref19,,,,,,,"Aïvodji, U. and others",Proceedings of the International Conference on Machine Learning,,,10.48550/arXiv.1901.09749,,,,,,,,,,,,,,,,,,161--170,,,,,,,,Fairwashing: the risk of rationalization,,https://doi.org/10.48550/arXiv.1901.09749,,,2019
inproceedings,ref20,,,,,,,"Baniecki, H. and Kretowicz, W. and Biecek, P.",European Conference on Machine Learning and Knowledge Discovery in Databases,,,10.48550/arXiv.2105.12837,,,,,,,,,,,,,,,,,,121--136,,,,,,,,Fooling partial dependence via data poisoning,,https://doi.org/10.48550/arXiv.2105.12837,,,2022
inproceedings,ref21,,,,,,,"Slack, D. and others","AAAI/ACM Conference on AI, Ethics, and Society",,,10.48550/arXiv.1911.02508,,,,,,,,,,,,,,,,,,180--186,,,,,,,,Fooling LIME and SHAP: Adversarial attacks on post hoc explanation methods,,https://doi.org/10.48550/arXiv.1911.02508,,,2020
techreport,ref22,,,,,,,Reva Schwartz and Apostol Vassilev and Kristen Greene and Lori Perine and Andrew Burt and Patrick Hall,,,,10.6028/NIST.SP.1270,,,,,,"National Institute of Standards and Technology, Gaithersburg, MD",,,,,,,,,,NIST SP 1270,,,,,,,,,,Towards a Standard for Identifying and Managing Bias in Artificial Intelligence,,https://doi.org/10.6028/NIST.SP.1270,,,2022
techreport,ref23,,,,,,,"Theofanos, M. and Choong, Y. and Jensen, T.",,,,10.6028/NIST.AI.200-1,,,,,,"National Institute of Standards and Technology, Gaithersburg, MD",,,,,,,,,,NIST AI 200-1,,,,,,,,,,AI Use Taxonomy: A Human-Centered Approach,,https://doi.org/10.6028/NIST.AI.200-1,,,2024
techreport,ref24,,,,,,,Scientific Integrity Framework Interagency Working Group of the National Science and Technology Council,,,,,,,,,,National Science and Technology Council,,,,,,,,,,,,,,,,,,,,A Framework for Federal Scientific Integrity Policy and Practice,,https://www.whitehouse.gov/wp-content/uploads/2023/01/01-2023-Framework-for-Federal-Scientific-Integrity-Policy-and-Practice.pdf,,,2023
misc,ref25,,,,,arXiv,,Sayash Kapoor and Arvind Narayanan,,,,,,,2207.07048,,,,,,,,,,,,,,,,,,cs.LG,,,,,Leakage and the Reproducibility Crisis in ML-based Science,,https://arxiv.org/abs/2207.07048,,,2022
misc,ref26and34,,,,,arXiv,,"Liang, P. and others",,,,,,,2211.09110,,,,,,,,,,,,,,,,,,cs.CL,,,,,Holistic Evaluation of Language Models,,https://arxiv.org/abs/2211.09110,,,2023
misc,ref27,,,,,,,"Kapoor, S. and Narayanan, A.",,,,,,,,,\url{https://www.aisnakeoil.com/p/openais-policies-hinder-reproducible},,,,,,,,,,,,,,,,,,,,,OpenAI’s Policies Hinder Reproducible Research on Language Models,,,,,2023
misc,ref28,,,,,arXiv,,Jesse Dodge and Suchin Gururangan and Dallas Card and Roy Schwartz and Noah A. Smith,,,,,,,1909.03004,,,,,,,,,,,,,,,,,,cs.LG,,,,,Show Your Work: Improved Reporting of Experimental Results,,https://arxiv.org/abs/1909.03004,,,2019
misc,ref29,,,,,arXiv,,Anna Rogers and Tim Baldwin and Kobi Leins,,,,,,,2109.06598,,,,,,,,,,,,,,,,,,cs.CL,,,,,"Just What do You Think You're Doing, Dave?' A Checklist for Responsible Data Use in NLP",,https://arxiv.org/abs/2109.06598,,,2021
misc,ref30,,,,,arXiv,,Cheng Wang,,,,,,,2308.01222,,,,,,,,,,,,,,,,,,cs.LG,,,,,Calibration in Deep Learning: A Survey of the State-of-the-Art,,https://arxiv.org/abs/2308.01222,,,2024
inproceedings,ref31,,,,,,,"Deng, J. and others",IEEE Conference on Computer Vision and Pattern Recognition,,,10.1109/CVPR.2009.5206848,,,,,,,,,,,,,,,,,,248--255,,,,,,,,ImageNet: A large-scale hierarchical image database,,https://doi.org/10.1109/CVPR.2009.5206848,,,2009
misc,ref32,,,,,,,"LeCun, Y. and Cortes, C. and Burges, C. J. C.",,,,,,,,,\url{https://yann.lecun.com/exdb/mnist/},,,,,,,,,,,,,,,,,,,,,The MNIST Database Of Handwritten Digits,,,,,1998
misc,ref33,,,,,,,"Gao, L. and others",,,,,,,,,\url{https://github.com/EleutherAI/lm-evaluation-harness},,,,,,,,,,,,,,,,,,,,,A Framework for Few-Shot Language Model Evaluation,,,,,2021
misc,ref35,,,,,arXiv,,"Srivastava, A. and others",,,,,,,2206.04615,,,,,,,,,,,,,,,,,,cs.CL,,,,,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,,https://arxiv.org/abs/2206.04615,,,2023
misc,ref36,,,,,arXiv,,Patrick Chao and Alexander Robey and Edgar Dobriban and Hamed Hassani and George J. Pappas and Eric Wong,,,,,,,2310.08419,,,,,,,,,,,,,,,,,,cs.LG,,,,,Jailbreaking Black Box Large Language Models in Twenty Queries,,https://arxiv.org/abs/2310.08419,,,2024
misc,ref37,,,,,,,"Duan, M. and others",,,,,,,,,arXiv preprint arXiv:2402.07841,,,,,,,,,,Feb 12,,,,,,,,,,,Do membership inference attacks work on large language models?,,,,,2024
techreport,ref38,,,,,,,Reva Schwartz and Jonathan Fiscus and Kristen Greene and Gabriella Waters and Rumman Chowdhury and Theodore Jensen and Craig Greenberg and Afzal Godil and Razvan Amironesei and Patrick Hall and Shomik Jain,,,,,,,,,,"National Institute of Standards and Technology, Gaithersburg, MD",,,,,,,,,\url{https://ai-challenges.nist.gov/aria/docs/evaluation_plan.pdf},,,,,,,,,,,The NIST Assessing Risks and Impacts of AI (ARIA) Pilot Evaluation Plan,,,,,2024
misc,ref39,,,,,arXiv,,Pengfei Li and Jianyi Yang and Mohammad A. Islam and Shaolei Ren,,,,,,,2304.03271,,,,,,,,,,,,,,,,,,cs.LG,,,,,"Making AI Less ""Thirsty"": Uncovering and Addressing the Secret Water Footprint of AI Models",,https://arxiv.org/abs/2304.03271,,,2025
article,ref40,,,,,,,"Donoho, D.",,,,10.1080/10618600.2017.1384734,,,,,,,,,,Journal of Computational and Graphical Statistics,,,,,,4,,745--766,,,,,,,,50 years of data science,,https://doi.org/10.1080/10618600.2017.1384734,,26,2017
inproceedings,ref41,,,,,,,"Li, C. and Flanigan, J.",Proceedings of the AAAI Conference on Artificial Intelligence,,,10.48550/arXiv.2312.16337,,,,,,,,,,,,,,,,,,18471--18480,,,,,,,,Task contamination: Language models may not be few-shot anymore,,https://doi.org/10.48550/arXiv.2312.16337,,,2024
book,ref42,,,"Birmingham, UK",,,,"Rehberger, J.",,,,,1st,,,,,,,,,,,,,,,,,,,,,Packt Publishing,,,,Cybersecurity Attacks - Red Team Strategies,,,,,2020
misc,ref43,,,,,,,"Longbine, D. F.",,,,,,,,,\url{https://apps.dtic.mil/sti/citations/ADA485514},,,,,,,,,,,,,,,,,,,,,Red Teaming: Past and Present,,,,,2021
misc,ref44,,,,,,,{Frontier Model Forum},,,,,,,,,\url{https://www.frontiermodelforum.org/uploads/2023/10/FMF-AI-Red-Teaming.pdf},,,,,,,,,,,,,,,,,,,,,Frontier Model Forum: What is Red Teaming?,,,,,2023
misc,ref45,,,,,,,{Meta},,,,,,,,,\url{https://ai.meta.com/blog/facebooks-five-pillars-of-responsible-ai/},,,,,,,,,,,,,,,,,,,,,Facebook’s Five Pillars of Responsible AI,,,,,2021
misc,ref46,,,,,,,"Mislove, A.",,,,,,,,,\url{https://www.whitehouse.gov/ostp/news-updates/2023/08/29/red-teaming-large-language-models-to-identify-novel-ai-risks/},,,,,,,,,,,,,,,,,,,,,Red-Teaming Large Language Models to Identify Novel AI Risks,,,,,2023
article,ref47,,,,,,,"Centola, D.",,,,,,,,,,,,,,Trends in Cognitive Sciences,,,,,,11,,923--941,,,,,,,,The network science of collective intelligence,,https://pubmed.ncbi.nlm.nih.gov/36180361/,,26,2022
article,ref48,,,,,,,"Stadler, C. and Rajwani, T. and Karaba, F.",,,,10.1111/ijmr.12015,,,,,,,,,,International Journal of Management Reviews,,,,,,2,,172--193,,,,,,,,Solutions to the exploration/exploitation dilemma: networks as a new level of analysis,,https://doi.org/10.1111/ijmr.12015,,16,2013
article,ref49,,,,,,,"Mason, W. and Watts, D. J.",,,,10.1073/pnas.1110069108,,,,,,,,,,Proceedings of the National Academy of Sciences,,,,,,3,,764--769,,,,,,,,Collaborative learning in networks,,https://doi.org/10.1073/pnas.1110069108,,109,2012
article,ref50,,,,,,,"Woolley, A. W. and Aggarwal, I. and Malone, T. W.",,,,10.1177/0963721415599543,,,,,,,,,,Current Directions in Psychological Science,,,,,,6,,420--424,,,,,,,,Collective intelligence and group performance,,https://doi.org/10.1177/0963721415599543,,24,2015
misc,ref51,,,,,,,{The Royal Society},,,,,,,,,\url{https://royalsociety.org/science-events-and-lectures/2023/10/ai-safety-science-redteam/},,,,,,,,,,,,,,,,,,,,,Science x AI Safety: Red Teaming LLMs for Resilience to Scientific Disinformation,,,,,2023
misc,ref52,,,,,,,{Hack the Future},,,,,,,,,\url{https://www.hackthefuture.com/news/generative-red-team-challenge-opens-next-friday-at-def-con-31},,,,,,,,,,,,,,,,,,,,,Generative Red Team Challenge Opens Next Friday at DEF CON 31,,,,,2023
misc,ref53,,,,,arXiv,,Mikayel Samvelyan and Sharath Chandra Raparthy and Andrei Lupu and Eric Hambro and Aram H. Markosyan and Manish Bhatt and Yuning Mao and Minqi Jiang and Jack Parker-Holder and Jakob Foerster and Tim Rocktäschel and Roberta Raileanu,,,,,,,2402.16822,,,,,,,,,,,,,,,,,,cs.CL,,,,,Rainbow Teaming: Open-Ended Generation of Diverse Adversarial Prompts,,https://arxiv.org/abs/2402.16822,,,2024
misc,ref54,,,,,,,"Chowdhury, R. and Williams, J.",,,,,,,,,\url{https://blog.x.com/engineering/en_us/topics/insights/2021/algorithmic-bias-bounty-challenge},,,,,,,,,,,,,,,,,,,,,Introducing Twitter’s First Algorithmic Bias Bounty Challenge,,,,,2021
misc,ref55,,,,,,,{Microsoft},,,,,,,,,\url{https://www.microsoft.com/en-us/msrc/bounty-ai},,,,,,,,,,,,,,,,,,,,,Microsoft AI Bounty Program,,,,,
article,ref56,,,,,,,"Dobbe, R. and Gilbert, T. K. and Mintz, Y.",,,,10.48550/arXiv.2106.11022,,,,,,,,,,Artificial Intelligence,,,,,,,,103555,,,,,,,,Hard choices in artificial intelligence,,https://arxiv.org/abs/2106.11022,,300,2021
misc,ref57,,,,,,,"Thomas, R. and Uminsky, D.",,,,,,,,,\url{https://arxiv.org/pdf/2002.08512},,,,,,,,,,,,,,,,,,,,,Reliance on Metrics is a Fundamental Challenge for AI,,,,,2020
misc,ref58,,,,,,,{Bugcrowd},,,,,,,,,\url{https://bugcrowd.com/conductorai-ogbb?preview=ae06c13f786e06a1f9ff03d74230b7d5},,,,,,,,,,,,,,,,,,,,,ConductorAI - Bias Bounty Program,,,,,
misc,ref59,,,,,,,"Vela, E. and others",,,,,,,,,\url{https://security.googleblog.com/2023/10/googles-reward-criteria-for-reporting.html},,,,,,,,,,,,,,,,,,,,,Google’s Reward Criteria for Reporting Bugs in AI Products,,,,,2023
misc,ref60,,,,,arXiv,,Ethan Perez and Saffron Huang and Francis Song and Trevor Cai and Roman Ring and John Aslanides and Amelia Glaese and Nat McAleese and Geoffrey Irving,,,,,,,2202.03286,,,,,,,,,,,,,,,,,,cs.CL,,,,,Red Teaming Language Models with Language Models,,https://arxiv.org/abs/2202.03286,,,2022
misc,ref61,,,,,arXiv,,"Achiam, J. and others",,,,,,,2303.08774,,,,,,,,,,,,,,,,,,cs.CL,,,,,GPT-4 technical report,,https://arxiv.org/abs/2303.08774,,,2024
inproceedings,ref62,,,,,,,"Carlini, N. and others",30th USENIX Security Symposium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extracting training data from large language models,,https://www.usenix.org/conference/usenixsecurity21/presentation/carlini-extracting,,,2021
misc,ref63and79,,,,,arXiv,,Nicholas Carlini and Daphne Ippolito and Matthew Jagielski and Katherine Lee and Florian Tramer and Chiyuan Zhang,,,,,,,2202.07646,,,,,,,,,,,,,,,,,,cs.LG,,,,,Quantifying Memorization Across Neural Language Models,,https://arxiv.org/abs/2202.07646,,,2023
misc,ref64,,,,,arXiv,,Nicholas Carlini and Daniel Paleka and Krishnamurthy Dj Dvijotham and Thomas Steinke and Jonathan Hayase and A. Feder Cooper and Katherine Lee and Matthew Jagielski and Milad Nasr and Arthur Conmy and Itay Yona and Eric Wallace and David Rolnick and Florian Tramèr,,,,,,,2403.06634,,,,,,,,,,,,,,,,,,cs.CR,,,,,Stealing Part of a Production Language Model,,https://arxiv.org/abs/2403.06634,,,2024
misc,ref65,,,,,,,{Embrace The Red},,,,,,,,,\url{https://embracethered.com/blog/posts/2023/bing-chat-data-exfiltration-poc-and-fix/},,,,,,,,,,,,,,,,,,,,,Bing Chat: Data Exfiltration Exploit Explained,,,,,2023
inproceedings,ref66,,,,,,,"Greshake, K. and others",16th ACM Workshop on Artificial Intelligence and Security,,,,,,,,,,,,,,,,,,,,,79--90,,,,,,,,Not what you've signed up for: Compromising real-world LLM-integrated applications with indirect prompt injection,,https://arxiv.org/abs/2302.12173,,,2023
misc,ref67,,,,,arXiv,,Robin Staab and Mark Vero and Mislav Balunović and Martin Vechev,,,,,,,2310.07298,,,,,,,,,,,,,,,,,,cs.AI,,,,,Beyond Memorization: Violating Privacy Via Inference with Large Language Models,,https://arxiv.org/abs/2310.07298,,,2024
article,ref68,,,,,,,"Barreno, M. and others",,,,10.1007/s10994-010-5188-5,,,,,,,,,,Machine Learning,,,,,,,,121--148,,,,,,,,The security of machine learning,,https://link.springer.com/article/10.1007/s10994-010-5188-5,,81,2010
misc,ref69,,,,,arXiv,,Leon Derczynski and Erick Galinkin and Jeffrey Martin and Subho Majumdar and Nanna Inie,,,,,,,2406.11036,,,,,,,,,,,,,,,,,,cs.CL,,,,,garak: A Framework for Security Probing Large Language Models,,https://arxiv.org/abs/2406.11036,,,2024
misc,ref70,,,,,,,"Hall, P. and Atherton, D.",,,,,,,,,\url{https://github.com/jphall663/awesome-machine-learning-interpretability},,,,,,,,,,,,,,,,,,,,,Awesome Machine Learning Interpretability,,,,,2024
misc,ref71,,,,,,,"Saravia, E.",,,,,,,,,\url{https://github.com/dair-ai/Prompt-Engineering-Guide},,,,,,,,,,,,,,,,,,,,,DAIR-AI Prompt Engineering Guide,,,,,2024
misc,ref72,,,,,,,"Storchan, V. and others",,,,,,,,,\url{https://www.scribd.com/document/748509452/2024-Generative-AI-Red-Teaming-Transparency-Report},,,,,,,,,,,,,,,,,,,,,Generative AI Red Teaming Challenge: Transparency Report,,,,,2024
misc,ref73,,,,,,,{HuggingFace},,,,,,,,,\url{https://huggingface.co/spaces/hallucinations-leaderboard/leaderboard},,,,,,,,,,,,,,,,,,,,,Hallucinations Leaderboard,,,,,
misc,ref74,,,,,,,"Huang, Y. and others",,,,,,,,,"Advances in Neural Information Processing Systems, 13;36",,,,,,,,,,,,,,,,,,,,,C-eval: A multi-level multi-discipline Chinese evaluation suite for foundation models,,https://arxiv.org/abs/2305.08322,,,2024
misc,ref75,,,,,,,"Lenaerts-Bergmans, B.",,,,,,,,,\url{https://www.crowdstrike.com/cybersecurity-101/cyberattacks/data-poisoning/},,,,,,,,,,,,,,,,,,,,,Data Poisoning: The Exploitation of Generative AI,,,,,2024
article,ref76,,,,,,,"Bommasani, R. and Liang, P. and Lee, T.",,,,10.1111/nyas.15007,,,,,,,,,,Annals of the New York Academy of Sciences,,,,,,1,,140--146,,,,,,,,Holistic evaluation of language models,,https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/nyas.15007,,1525,2023
misc,ref77,,,,,,,"Wang, B. and others",,,,10.48550/arXiv.2306.11698,,,,,"Advances in Neural Information Processing Systems, 36",,,,,,,,,,,,,,,,,,,,,DecodingTrust: A comprehensive assessment of trustworthiness in GPT models,,https://doi.org/10.48550/arXiv.2306.11698,,,2024
article,ref78,,,,,,,"Bertrand, M. and Mullainathan, S.",,,,,,,,,,,,,,The American Economic Review,,,,,,4,,991--1013,,,,,,,,Are Emily and Greg more employable than Lakisha and Jamal? A field experiment on labor market discrimination,,https://www.jstor.org/stable/3592802,,94,2004
inproceedings,ref80,,,,,,,"Luccioni, S. and Jernite, Y. and Strubell, E.","ACM Conference on Fairness, Accountability, and Transparency",,,,,,,,,,,,,,,,,,,,,85--99,,,,,,,,Power hungry processing: Watts driving the cost of AI deployment?,,https://arxiv.org/pdf/2311.16863,,,2024
inproceedings,ref81,,,,,,,"Bianchi, F. and others","ACM Conference on Fairness, Accountability, and Transparency",,,10.1145/3593013.3594095,,,,,,,,,,,,,,,,,,1493--1504,,,,,,,,Easily accessible text-to-image generation amplifies demographic stereotypes at large scale,,https://dl.acm.org/doi/10.1145/3593013.3594095,,,2023
inproceedings,ref82,,,,,,,"Bandarkar, Lucas and Liang, Davis and Muller, Benjamin and Artetxe, Mikel and Shukla, Satya Narayan and Husa, Donald and Goyal, Naman and Krishnan, Abhinandan and Zettlemoyer, Luke and Khabsa, Madian",Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,,10.18653/v1/2024.acl-long.44,,,,,,,,,,,,,,,,,,749–775,,,,Association for Computational Linguistics,,,,The Belebele Benchmark: a Parallel Reading Comprehension Dataset in 122 Language Variants,,http://dx.doi.org/10.18653/v1/2024.acl-long.44,,,2024
misc,ref83,,,,,,,"Bommasani, R. and others",,,,,,,,,"Advances in Neural Information Processing Systems, 35",,,,,,,,,,,,,3663--3678,,,,,,,,Picking on the same person: Does algorithmic monoculture lead to outcome homogenization?,,https://arxiv.org/abs/2211.13972,,,2022
misc,ref84,,,,,arXiv,,Julien Piet and Chawin Sitawarin and Vivian Fang and Norman Mu and David Wagner,,,,,,,2312.00273,,,,,,,,,,,,,,,,,,cs.CR,,,,,Mark My Words: Analyzing and Evaluating Language Model Watermarks,,https://arxiv.org/abs/2312.00273,,,2024
misc,ref85,,,,,,,{The Royal Society},,,,,,,,,\url{https://royalsociety.org/news-resources/publications/2024/red-teaming-llms-for-resilience-to-scientific-disinformation/},,,,,,,,,,,,,,,,,,,,,Red Teaming Large Language Models (LLMs) for Resilience to Scientific Disinformation,,,,,2024
misc,ref86,,,,,arXiv,,Yangsibo Huang and Samyak Gupta and Mengzhou Xia and Kai Li and Danqi Chen,,,,,,,2310.06987,,,,,,,,,,,,,,,,,,cs.CL,,,,,Catastrophic Jailbreak of Open-source LLMs via Exploiting Generation,,https://arxiv.org/abs/2310.06987,,,2023
misc,ref87,,,,,arXiv,,Anay Mehrotra and Manolis Zampetakis and Paul Kassianik and Blaine Nelson and Hyrum Anderson and Yaron Singer and Amin Karbasi,,,,,,,2312.02119,,,,,,,,,,,,,,,,,,cs.LG,,,,,Tree of Attacks: Jailbreaking Black-Box LLMs Automatically,,https://arxiv.org/abs/2312.02119,,,2024
inproceedings,ref88,,,,,,,"Shen, X. and others",ACM SIGSAC Conference on Computer and Communications Security,,,,,,,,,,,,,,,,,,,,,1671--1685,,,,,,,,Do anything now: Characterizing and evaluating in-the-wild jailbreak prompts on large language models,,https://arxiv.org/abs/2308.03825,,,2024
misc,ref89,,,,,arXiv,,Zhiyuan Yu and Xiaogeng Liu and Shunning Liang and Zach Cameron and Chaowei Xiao and Ning Zhang,,,,,,,2403.17336,,,,,,,,,,,,,,,,,,cs.CR,,,,,Don't Listen To Me: Understanding and Exploring Jailbreak Prompts of Large Language Models,,https://arxiv.org/abs/2403.17336,,,2024
misc,ref90,,,,,arXiv,,Weijia Shi and Anirudh Ajith and Mengzhou Xia and Yangsibo Huang and Daogao Liu and Terra Blevins and Danqi Chen and Luke Zettlemoyer,,,,,,,2310.16789,,,,,,,,,,,,,,,,,,cs.CL,,,,,Detecting Pretraining Data from Large Language Models,,https://arxiv.org/abs/2310.16789,,,2024
inproceedings,ref91,,,,,,,"Shumailov, I. and others",IEEE European Symposium on Security and Privacy (EuroS\&P),,,,,,,,,,,,,,,,,,,,,212--231,,,,,,,,Sponge examples: Energy-latency attacks on neural networks,,https://arxiv.org/abs/2006.03463,,,2021
article,ref92,,,,,,,"de Wynter, A. and others",,,,10.1016/j.nlp.2023.100024,,,,,,,,,,Natural Language Processing Journal,,,,,,,,100024,,,,,,,,An evaluation on large language model outputs: Discourse and memorization,,https://doi.org/10.1016/j.nlp.2023.100024,,4,2023
misc,ref93,,,,,,,"Blaire, B. and others",,,,,,,,,\url{https://www.dlapiper.com/-/media/project/dlapiper-tenant/dlapiper/pdf/dla-piper---white-paper---ai-legal-red-teaming.pdf},,,,,,,,,,,,,,,,,,,,,Legal Red Teaming: A Systematic Approach to Assessing Legal Risk of Generative AI Models,,,,,2024
misc,ref94,,,,,,,"Atherton, D.",,,,,,,,,\url{https://incidentdatabase.ai/blog/deepfakes-and-child-safety/},,,,,,,,,,,,,,,,,,,,,Deepfakes and Child Safety: A Survey and Analysis of 2023 Incidents and Responses,,,,,2024
misc,ref95,,,,,,,"Thiel, D.",,,,,,,,,\url{https://purl.stanford.edu/kh752sm9123},,,,,,,,,,,,,,,,,,,,,Identifying and Eliminating CSAM in Generative ML Training Data and Models,,,,,2023
misc,ref96,,,,,,,"Kohavi, R. and Provost, F.",,,,,,,,,\url{http://robotics.stanford.edu/~ronnyk/glossary.html},,,,,,,,,,,,,,,,,,,,,Glossary of Terms Special Issue on Applications of Machine Learning and the Knowledge Discovery Process,,,,,1998
misc,ref97,,,,,arXiv,,Alexandra Chouldechova and Chad Atalla and Solon Barocas and A. Feder Cooper and Emily Corvi and P. Alex Dow and Jean Garcia-Gathright and Nicholas Pangakis and Stefanie Reed and Emily Sheng and Dan Vann and Matthew Vogel and Hannah Washington and Hanna Wallach,,,,,,,2412.01934,,,,,,,,,,,,,,,,,,cs.CY,,,,,"A Shared Standard for Valid Measurement of Generative AI Systems' Capabilities, Risks, and Impacts",,https://arxiv.org/abs/2412.01934,,,2024
article,ref98,,,,,,,"Wang, S. and Cooper, N. and Eby, M.",,,,10.1177/20539517241290220,,,,,,,,,,Big Data \& Society,,,,,,4,,,,,,,,,,From human-centered to social-centered artificial intelligence: Assessing ChatGPT’s impact through disruptive events,,https://doi.org/10.1177/20539517241290220,,11,2024
article,ref99,,,,,,,"Shen, Yongliang and Song, Kaitao and Tan, Xu and Zhang, Wenqi and Ren, Kan and Yuan, Siyu and Lu, Weiming and Li, Dongsheng and Zhuang, Yueting",,,,,,,,,,,,,,Advances in Neural Information Processing Systems,,,,,,,,4540--4574,,,,,,,,Taskbench: Benchmarking large language models for task automation,,,,37,2024
article,ref100,,,,,,,"Zhu, Kaijie and Zhao, Qinlin and Chen, Hao and Wang, Jindong and Xie, Xing",,,,,,,,,,,,,,Journal of Machine Learning Research,,,,,,254,,1--22,,,,,,,,Promptbench: A unified library for evaluation of large language models,,,,25,2024
inproceedings,ref101,,,,,,,"Liang, Zijing and Xu, Yanjie and Hong, Yifan and Shang, Penghui and Wang, Qi and Fu, Qiang and Liu, Ke","Proceedings of the 3rd International Conference on Computer, Artificial Intelligence and Control Engineering",,,,,,,,,,,,,,,,,,,,,405--409,,,,,,,,A Survey of Multimodel Large Language Models,,,,,2024
inproceedings,ref102,,,,,,,"Wang, Boxin and Chen, Weixin and Pei, Hengzhi and Xie, Chulin and Kang, Mintong and Zhang, Chenhui and Xu, Chejian and Xiong, Zidi and Dutta, Ritik and Schaeffer, Rylan and others",NeurIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DecodingTrust: A Comprehensive Assessment of Trustworthiness in GPT Models.,,,,,2023
article,ref103,,,,,,,"Chang, Yupeng and Wang, Xu and Wang, Jindong and Wu, Yuan and Yang, Linyi and Zhu, Kaijie and Chen, Hao and Yi, Xiaoyuan and Wang, Cunxiang and Wang, Yidong and others",,,,,,,,,,,,,,ACM transactions on intelligent systems and technology,,,,,,3,,1--45,,,,"ACM New York, NY",,,,A survey on evaluation of large language models,,,,15,2024
article,ref104,,,,,,,"Zhao, Yiran and Zhang, Jinghan and Chern, I and Gao, Siyang and Liu, Pengfei and He, Junxian and others",,,,,,,,,,,,,,Advances in Neural Information Processing Systems,,,,,,,,44502--44523,,,,,,,,Felm: Benchmarking factuality evaluation of large language models,,,,36,2023
article,ref105,,,,,,,"Abercrombie, Gavin and Benbouzid, Djalel and Giudici, Paolo and Golpayegani, Delaram and Hernandez, Julio and Noro, Pierre and Pandit, Harshvardhan and Paraschou, Eva and Pownall, Charlie and Prajapati, Jyoti and others",,,,,,,,,,,,,,arXiv preprint arXiv:2407.01294,,,,,,,,,,,,,,,,"A collaborative, human-centred taxonomy of ai, algorithmic, and automation harms",,,,,2024
inproceedings,ref106,,,,,,,"Shelby, Renee and Rismani, Shalaleh and Henne, Kathryn and Moon, AJung and Rostamzadeh, Negar and Nicholas, Paul and Yilla-Akbari, N'Mah and Gallegos, Jess and Smart, Andrew and Garcia, Emilio and others","Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",,,,,,,,,,,,,,,,,,,,,723--741,,,,,,,,Sociotechnical harms of algorithmic systems: Scoping a taxonomy for harm reduction,,,,,2023
inproceedings,ref107,,,,,,,"Bogucka, Edyta and {\v{S}}{\'c}epanovi{\'c}, Sanja and Quercia, Daniele",Proceedings of the AAAI Conference on Human Computation and Crowdsourcing,,,,,,,,,,,,,,,,,,,,,33--43,,,,,,,,Atlas of AI Risks: Enhancing Public Understanding of AI Risks,,,,12,2024
inproceedings,ref108,,,,,,,"Raji, Inioluwa Deborah and Kumar, I Elizabeth and Horowitz, Aaron and Selbst, Andrew","Proceedings of the 2022 ACM Conference on Fairness, Accountability, and Transparency",,,,,,,,,,,,,,,,,,,,,959--972,,,,,,,,The fallacy of AI functionality,,,,,2022
article,ref109,,,,,,,"Gehman, Samuel and Gururangan, Suchin and Sap, Maarten and Choi, Yejin and Smith, Noah A",,,,,,,,,,,,,,arXiv preprint arXiv:2009.11462,,,,,,,,,,,,,,,,Realtoxicityprompts: Evaluating neural toxic degeneration in language models,,,,,2020
