entry_type,citation_key,address,author,booktitle,issue,journal,note,number,pages,publisher,title,volume,year
misc,hall2020Explaining,,"Hall, Patrick",,,,URL: \url{https://www.infoworld.com/article/3533369/explaining-machine-learning-models-to-the-business.html},,,InfoWorld,Explaining {M}achine {L}earning {M}odels to the {B}usiness,,2020
article,information,,"Hall, Patrick and Navdeep Gill and Kim Montgomery and Nicholas Schmidt",,3,Information,URL: \url{https://www.mdpi.com/2078-2489/11/3/137},,,,"A Responsible Machine Learning Workflow with Focus on Interpretable Models, Post-hoc Explanation, and Discrimination Testing",11,2020
misc,hall2019debugging2,,"Hall, Patrick and Andrew Burt",,,,URL: \url{https://www.oreilly.com/radar/why-you-should-care-about-debugging-machine-learning-models/},,,O'Reilly Radar,Why {Y}ou {S}hould {C}are {A}bout {D}ebugging {M}achine {L}earning {M}odels,,2019
misc,hall2019debugging1,,"Hall, Patrick",,,,URL: \url{https://towardsdatascience.com/strategies-for-model-debugging-aa822f1097ce},,,Towards Data Science,{R}eal-world {S}trategies for {M}odel {D}ebugging,,2019
article,hall2019proposed,,"Hall, Patrick and Navdeep Gill and Nicholas Schmidt",,,NeurIPS Robust AI in Financial Services Workshop,URL: \url{https://arxiv.org/pdf/1906.03533.pdf},,,,Proposed {G}uidelines for the {R}esponsible {U}se of {E}xplainable {M}achine {L}earning,,2019
misc,stalla2019warning,,"Stalla-Bourdillon, Sophie and Leong, Brenda and Hall, Patrick and Burt, Andrew",,,,URL: \url{https://fpf.org/wp-content/uploads/2019/09/FPF_WarningSigns_Report.pdf},,,Future of Privacy Foundation,Warning {S}igns: {P}rivacy and {S}ecurity in an {A}ge of {M}achine {L}earning,,2019
misc,hall2019introduction,,"Hall, Patrick and Gill, Navdeep",,,,URL: \url{https://www.h2o.ai/wp-content/uploads/2019/08/An-Introduction-to-Machine-Learning-Interpretability-Second-Edition.pdf},,,O'Reilly Media,"An {I}ntroduction to {M}achine {L}earning {I}nterpretability: {A}n {A}pplied {P}erspective on {F}airness, {A}ccountability, {T}ransparency, and {E}xplainable {A}{I}, 2\textsuperscript{nd} {E}dition",,2019
article,hall2019art,,"Hall, Patrick",,,KDD XAI Workshop,URL: \url{https://arxiv.org/pdf/1810.02909.pdf},,,,On the {A}rt and {S}cience of {M}achine {L}earning {E}xplanations,,2019
misc,hall2019security,,"Hall, Patrick",,,,URL: \url{https://www.oreilly.com/ideas/proposals-for-model-vulnerability-and-security},,,O'Reilly Ideas,Proposals for {M}odel {V}ulnerability and {S}ecurity,,2019
misc,hall2018testing,,"Hall, Patrick and Navdeep Gill and Lingyao Meng",,,,URL: \url{https://www.oreilly.com/ideas/testing-machine-learning-interpretability-techniques},,,O'Reilly Ideas,Testing {M}achine {L}earning {E}xplanation {T}echniques,,2018
misc,hall2018introduction,,"Hall, Patrick and Gill, Navdeep",,,,URL: \url{https://pages.dataiku.com/hubfs/ML-interperatability.pdf},,,O'Reilly Media,"An {I}ntroduction to {M}achine {L}earning {I}nterpretability: {A}n {A}pplied {P}erspective on {F}airness, {A}ccountability, {T}ransparency, and {E}xplainable {A}{I}",,2018
misc,hall2017using,,"Hall, Patrick and Kurka, Megan and Bartz, Angela",,,,URL: \url{http://docs.h2o.ai/driverless-ai/latest-lts/docs/booklets/DriverlessAIBooklet.pdf},,,"H2O.ai, Mountain View, CA",Using {H}{2}{O} {D}riverless {A}{I},,2017
article,hall2017debugging,,"Hall, Patrick and Gill, Navdeep",,,Open Review Preprint,URL: \url{https://openreview.net/pdf?id=r1iWHVJ7Z},,,,Debugging the {B}lack-{B}ox {C}{O}{M}{P}{A}{S} {R}isk {A}ssessment {I}nstrument to {D}iagnose and {R}emediate {B}ias,,2017
misc,hall2017ideas,,"Hall, Patrick and Phan, Wen and Ambati, Sri Satish",,,,URL: \url{https://www.oreilly.com/ideas/ideas-on-interpreting-machine-learning},,,O’Reilly Ideas,Ideas on {I}nterpreting {M}achine {L}earning,,2017
misc,hall2017machine,,"Hall, Patrick and Gill, Navdeep and Kurka, Megan and Phan, Wen",,,,URL: \url{http://docs.h2o.ai/driverless-ai/latest-stable/docs/booklets/MLIBooklet.pdf},,,"H2O.ai, Mountain View, CA",Machine {L}earning {I}nterpretability with {H}{2}{O} {D}riverless {A}{I},,2017
article,wujek2016best,,"Wujek, Brett and Hall, Patrick and G{\""u}nes, Funda",,,Proceedings of SAS Global Forum,URL: \url{https://support.sas.com/resources/papers/proceedings16/SAS2360-2016.pdf},,,"SAS Institute, Cary, NC",Best {P}ractices for {M}achine {L}earning {A}pplications,,2016
inproceedings,holdaway2016surface,,"Holdaway, Keith and Hall, Patrick and Silva, Jorge and Kabul, Ilknur","International Conference and Exhibition, Barcelona, Spain, 3-6 April 2016",,,URL: \url{https://library.seg.org/doi/10.1190/ice2016-6319324.1},,239--239,,Surface {R}eservoir {C}haracteristics from {S}ubsurface {S}eismic {I}mages with {D}eep {L}earning {M}ethodologies,,2016
misc,hall2016evolution,,"Hall, Patrick and Phan, Wen and Whitson, Katie",,,,URL: \url{https://pdfs.semanticscholar.org/cc62/c04074334d1d39b1c9f6a47b1ada99858529.pdf},,,O'Reilly Media,The Evolution of {A}nalytics,,2016
article,hall2016efficient,,"Hall, Patrick and Silva, Jorge and Kabul, Ilknur Kaynar and Holdaway, Keith and Chien, Alex",,,Proceedings of SAS Global Forum,URL: \url{https://pdfs.semanticscholar.org/f3fd/f7815ffbef2e06d57c1b8c8705091bf3d12a.pdf},,,"SAS Institute, Cary, NC",An {E}fficient {P}attern {R}ecognition {A}pproach with {A}pplications,,2016
misc,hall2016preoccupation,,"Hall, Patrick",,,,URL: \url{https://www.oreilly.com/ideas/the-preoccupation-with-test-error-in-applied-machine-learning},,,O'Reilly Ideas,The {P}reoccupation with {T}est {E}rror in {A}pplied {M}achine {L}earning,,2016
misc,hall2016,,"Hall, Patrick",,,,URL: \url{https://www.oreilly.com/ideas/predictive-modeling-striking-a-balance-between-accuracy-and-interpretability},,,O'Reilly Ideas,Predictive {M}odeling: {S}triking a {B}alance {B}etween {A}ccuracy and {I}nterpretability,,2016
article,hall2014overview,,"Hall, Patrick and Dean, Jared and Kabul, Ilknur Kaynar and Silva, Jorge",,,Proceedings of SAS Global Forum,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.648.3176&rep=rep1&type=pdf},,,"SAS Institute, Cary, NC",An {O}verview of {M}achine {L}earning with {S}{A}{S} {E}nterprise {M}iner,,2014
article,snyder2012let,,"Snyder, Ryan and Hall, Patrick",,,Proceedings of SAS Global Forum,URL: \url{http://support.sas.com/resources/papers/proceedings12/275-2012.pdf},,,"SAS Institute, Cary, NC","Let the {D}ata {P}aint the {P}icture: {D}ata-{D}riven, {I}nteractive and {A}nimated {V}isualizations {U}sing {S}{A}{S}, {J}ava and the {P}rocessing {G}raphics {L}ibrary",,2012
article,van2007undergraduate,,"Van Engelen, Debra L. and Suljak, Steven W. and Hall, Patrick and Holmes, Bert E.",,,Journal of Chemical Education,URL: \url{https://pubs.acs.org/doi/pdf/10.1021/ed084p128},1,128,ACS Publications,{U}ndergraduate {I}ntroductory {Q}uantitative {C}hemistry {L}aboratory {C}ourse: {I}nterdisciplinary {G}roup {P}rojects in {P}hytoremediation,84,2007
article,leon2006isoprenoid,,"Leon, Annette and Liu, Lei and Yang, Yan and Hudock, Michael P. and Hall, Patrick and Yin, Fenglin and Studer, Danielle and Puan, Kia-Joo and Morita, Craig T. and Oldfield, Eric",,,Journal of Medicinal Chemistry,URL: \url{https://pubs.acs.org/doi/abs/10.1021/jm060492b},25,7331--7341,ACS Publications,Isoprenoid {B}iosynthesis as a {D}rug {T}arget: {B}isphosphonate {I}nhibition of {E}scherichia coli {K}12 {G}rowth and {S}ynergistic {E}ffects of {F}osmidomycin,49,2006
